City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
237,Yulara,AU,-25.2406,130.9889,80.44,29,0,11.5,2021-10-21 00:48:04
238,Ulaangom,MN,49.9811,92.0667,30.7,52,5,3.13,2021-10-21 00:48:05
239,Kavaratti,IN,10.5669,72.642,82.13,73,100,8.81,2021-10-21 00:48:05
240,Santa Cruz,BO,-17.8,-63.1667,78.26,50,92,5.75,2021-10-21 00:48:05
241,Aleppo,SY,36.25,37.5,59.29,35,0,3.98,2021-10-21 00:48:06
242,Yabelo,ET,4.8833,38.0833,61.21,76,100,5.68,2021-10-21 00:48:06
243,Malakal,SS,9.5334,31.6605,72.57,81,41,5.3,2021-10-21 00:48:07
244,Atikokan,CA,48.7555,-91.6216,36.75,64,100,6.06,2021-10-21 00:48:08
245,Bac Giang,VN,21.2667,106.2,78.87,89,98,17.02,2021-10-21 00:48:08
246,Dwarka,IN,22.2394,68.9678,79.0,56,5,7.25,2021-10-21 00:48:08
247,Vanderhoof,CA,54.0166,-124.0198,41.68,81,100,2.91,2021-10-21 00:45:06
248,Rognan,NO,67.0953,15.3878,34.88,91,100,8.37,2021-10-21 00:48:09
249,Wundanyi,KE,-3.4019,38.364,57.0,89,54,4.68,2021-10-21 00:48:10
250,Marystown,CA,47.1666,-55.1483,50.86,100,100,10.31,2021-10-21 00:48:10
251,Caravelas,BR,-17.7125,-39.2481,71.38,92,100,15.75,2021-10-21 00:48:10
252,Leningradskiy,RU,69.3833,178.4167,26.2,96,100,16.73,2021-10-21 00:48:11
253,Abha,SA,18.2164,42.5053,60.62,26,0,0.0,2021-10-21 00:48:12
254,Mitsamiouli,KM,-11.3847,43.2844,76.17,77,72,1.52,2021-10-21 00:48:12
255,Key West,US,24.5557,-81.7826,81.0,69,75,10.36,2021-10-21 00:48:13
256,Carnarvon,AU,-24.8667,113.6333,69.87,60,90,12.66,2021-10-21 00:48:14
257,Golaghat,IN,26.5167,93.9667,73.4,98,100,5.12,2021-10-21 00:48:14
258,Klaksvik,FO,62.2266,-6.589,41.92,66,100,32.55,2021-10-21 00:48:15
259,Singaraja,ID,-8.112,115.0882,85.96,65,100,1.32,2021-10-21 00:48:15
260,Strezhevoy,RU,60.7333,77.5889,35.58,83,100,6.44,2021-10-21 00:48:15
261,Beringovskiy,RU,63.05,179.3167,18.84,74,70,4.09,2021-10-21 00:48:16
