City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
434,Biltine,TD,85.19,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
438,Kanniyakumari,IN,76.55,8.0833,77.5667,Sparsa
440,Pangai,TO,76.53,-19.8,-174.35,Ha'apai Beach Resort
443,Biak,ID,83.57,-0.9131,122.8766,Penginapan Kim
445,Hambantota,LK,75.54,6.1241,81.1185,Bungalow 63
448,Princesa Isabel,BR,78.46,-7.7367,-37.9933,Pousada São José
456,Bubaque,GW,82.04,11.2833,-15.8333,"Casa Dora, Bubaque"
458,Karaton,ID,83.95,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
461,Matamoros,MX,80.26,25.5333,-103.25,Quinta Belem
467,Lodwar,KE,81.23,3.1191,35.5973,Solmar Gracious Hotel
473,Barugo,PH,84.24,11.3242,124.7383,"Sirena Beach Of Brgy. Minuhang Barugo, Leyte"
477,San Patricio,US,81.01,28.017,-97.5169,"Motel 6 Sinton, TX"
478,Sun City West,US,83.8,33.662,-112.3413,
480,Oriximina,BR,80.47,-1.7656,-55.8661,Pousada Tia Amélia
482,Mandapam,IN,81.12,9.2833,79.1167,Tanvi Chachaa Chalet
489,Salalah,OM,75.56,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
495,Pontianak,ID,76.98,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
499,Chilakalurupet,IN,75.25,16.0833,80.1667,Sri vishnu priya lodge
500,Fare,PF,79.14,-16.7,-151.0167,Maitai Lapita Village Huahine
505,Port Augusta,AU,77.7,-32.5,137.7667,Majestic Oasis Apartments
510,Bathsheba,BB,83.01,13.2167,-59.5167,Atlantis Hotel
518,Manicore,BR,80.58,-5.8092,-61.3003,Hotel Durval
519,Kapoeta,SS,81.36,4.7717,33.5903,Eastgate Hotel
521,Puerto Rondon,CO,78.19,6.2805,-71.1,Urbanización Santa Clara
523,Akyab,MM,80.55,20.15,92.9,Hotel Memory
525,Sao Geraldo Do Araguaia,BR,80.62,-6.4006,-48.555,Hotel Por do Sol
526,Kieta,PG,85.93,-6.2167,155.6333,Uruna Bay Retreat
527,Biloela,AU,82.04,-24.4167,150.5,Biloela Silo Motor Inn
531,Pontes E Lacerda,BR,77.61,-15.2261,-59.3353,Hotel Bressan
532,Makakilo City,US,86.32,21.3469,-158.0858,Marriott's Ko Olina Beach Club
